Q,FWHM,R,sig_R
0.00616013,9.91135e-05,0.873746,0.100923
0.00621379,0.000100111,0.968499,0.140921
0.00626494,9.97027e-05,0.945408,0.174178
0.00631345,0.000100579,1.00131,0.174261
0.00636273,0.000101472,1.25472,0.219965
0.00641278,0.000102381,1.171,0.149443
0.00646362,0.000103307,0.994564,0.0938568
0.00651527,0.000104249,0.939961,0.0840772
0.00656776,0.000105209,1.03945,0.10557
0.0066211,0.000106188,0.868683,0.0992422
0.00667532,0.000107185,1.15677,0.145714
0.00673042,0.0001082,1.09327,0.116119
0.00678645,0.000109236,0.993661,0.0954331
0.00684342,0.000110292,1.03021,0.0856363
0.00690135,0.000111369,0.920491,0.069979
0.00696027,0.000112468,0.936266,0.0661744
0.0070202,0.000113588,0.976066,0.0725496
0.00708118,0.000114732,1.08877,0.0828813
0.00714322,0.000115899,0.947226,0.0750962
0.00720637,0.00011709,1.17328,0.0912313
0.00727063,0.000118306,1.02486,0.0720602
0.00733606,0.000119549,0.881916,0.0582268
0.00739786,0.000118849,1.03771,0.0656933
0.00745585,0.000119914,0.949177,0.058532
0.00751476,0.000120999,1.00758,0.060412
0.0075746,0.000122103,1.00478,0.0617952
0.00763541,0.000123229,1.08608,0.0669409
0.0076972,0.000124375,1.11023,0.0687143
0.00776,0.000125544,1.03217,0.0619638
0.00782383,0.000126734,0.980623,0.0566723
0.00788872,0.000127948,1.02047,0.0560397
0.0079547,0.000129184,0.944923,0.0488967
0.00802179,0.000130446,1.01767,0.0486872
0.00809002,0.000131733,0.970206,0.0453539
0.00815942,0.000133045,1.01108,0.0474419
0.00823002,0.000134385,1.0555,0.0497298
0.00830186,0.000135752,0.998838,0.0467622
0.00837495,0.000137147,1.00199,0.0462241
0.00844935,0.000138571,0.978254,0.0438758
0.00852509,0.000140026,0.961738,0.0410249
0.00860219,0.000141511,1.02124,0.0402501
0.0086807,0.000143029,1.03181,0.0382709
0.00876065,0.000144581,0.93414,0.0348097
0.00884209,0.000146166,0.959873,0.0353041
0.00892507,0.000147787,1.03649,0.0367399
0.00900248,0.000146584,1.01482,0.0399217
0.00907405,0.000147929,0.993313,0.0382939
0.00914677,0.000149299,0.962041,0.0363101
0.00922066,0.000150695,0.991062,0.0353509
0.00929576,0.000152117,1.02165,0.0351386
0.00937209,0.000153567,0.980219,0.0325762
0.00944969,0.000155045,0.960103,0.0312597
0.00952858,0.000156552,0.972745,0.0311438
0.00960879,0.000158088,1.05189,0.0331825
0.00969038,0.000159655,0.973298,0.031146
0.00977335,0.000161254,0.935884,0.0293095
0.00985776,0.000162885,0.974669,0.029336
0.00994365,0.00016455,0.971669,0.0280572
0.010031,0.000166249,1.01267,0.0279477
0.01012,0.000167984,0.997078,0.0267093
0.0102105,0.000169756,0.959051,0.0253391
0.0103027,0.000171566,1.02354,0.026314
0.0103965,0.000173415,0.950327,0.0247139
0.0104921,0.000175304,0.953313,0.0239825
0.0105894,0.000177235,0.939535,0.0229212
0.0106886,0.000179209,0.910901,0.0221203
0.0107896,0.000181228,0.942062,0.0214791
0.0108926,0.000183293,0.917172,0.0205521
0.0109976,0.000185406,0.940813,0.0207583
0.0111046,0.000187568,0.934313,0.0202027
0.0112137,0.000189781,0.934995,0.0197672
0.0113249,0.000192047,0.921291,0.0192353
0.0114384,0.000194368,0.894342,0.0181496
0.0115425,0.000192168,0.920746,0.0201062
0.0116367,0.000194007,0.926645,0.0196002
0.0117323,0.000195881,0.9151,0.0190447
0.0118296,0.000197792,0.947828,0.0193391
0.0119285,0.000199741,0.911951,0.0185203
0.0120291,0.000201728,0.869666,0.0174281
0.0121314,0.000203756,0.912902,0.0177777
0.0122354,0.000205824,0.880312,0.0167691
0.0123413,0.000207935,0.874781,0.0163423
0.012449,0.000210089,0.87778,0.0159131
0.0125585,0.000212289,0.876888,0.0155702
0.0126701,0.000214536,0.848736,0.0149875
0.0127836,0.00021683,0.842417,0.0146872
